Cod_setor;Situacao_setor;V001;V002;V003;V004;V005;V006;V007;V008;V009;V010;V011;V012;V013;V014;
290010805000001;1;0;258627;258627;0;15;18;44;89;30;3;2;2;0;17;
290010805000002;1;0;185922;185922;0;4;11;30;53;26;7;3;1;0;3;
290010805000003;1;0;176568;176568;0;14;23;62;70;25;4;1;1;0;44;
290010805000004;1;0;293511;293511;0;4;13;46;72;36;9;4;4;1;2;
290010805000005;1;0;139644;139644;0;4;8;18;42;16;1;2;0;1;2;
290010805000006;8;0;156701;156701;0;43;20;74;76;6;1;0;0;0;12;
290010805000007;8;0;99463;99463;0;18;10;36;51;6;1;0;1;0;14;
290010805000008;8;0;28454;28454;0;14;0;11;16;2;1;0;0;0;1;
290010805000009;8;0;185173;185173;0;11;37;55;93;21;1;0;0;0;2;
290010805000010;8;1;181204;180582;622;11;30;50;76;8;0;1;2;0;4;
290010810000001;1;0;111793;111793;0;16;16;43;46;11;0;2;0;0;8;
290010810000002;8;0;117976;117976;0;39;24;30;58;15;1;0;0;0;2;
290010810000003;8;0;23551;23551;0;27;11;6;12;2;0;0;0;0;7;
290010810000004;8;0;45327;45327;0;8;0;10;26;4;0;0;0;0;5;
290010810000005;5;0;117236;117236;0;27;12;48;62;8;1;0;0;0;14;
290010810000006;8;0;32912;32912;0;24;8;13;11;1;0;0;0;0;7;
290010810000007;5;0;23591;23591;0;10;5;8;11;4;0;0;0;0;5;
290010810000008;1;0;121027;121027;0;29;24;40;52;10;1;0;0;0;8;
290020705000001;1;1;252852;252652;200;29;35;61;64;28;6;5;1;0;8;
290020705000002;1;0;298754;298754;0;11;20;54;62;27;10;5;3;2;28;
290020705000003;1;0;248217;248217;0;6;15;32;37;23;12;5;5;1;5;
290020705000004;1;0;136083;136083;0;23;23;36;48;10;4;1;0;1;53;
290020705000006;8;0;36164;36164;0;24;15;20;8;1;1;0;0;0;15;
290020705000007;8;0;8374;8374;0;4;4;3;4;0;0;0;0;0;5;
290020705000008;8;0;45536;45536;0;25;15;15;17;0;0;0;0;0;6;
290020705000009;1;1;153554;153464;90;33;24;45;41;7;3;4;0;0;14;
290020705000010;1;0;82179;82179;0;24;25;39;26;7;1;0;0;0;3;
290020705000011;1;0;133460;133460;0;14;35;63;53;6;1;1;0;0;2;
290020705000012;1;0;89115;89115;0;53;43;50;21;2;0;0;0;0;29;
290020710000001;1;2;131214;129984;1230;17;24;39;45;9;4;0;0;0;10;
290020710000002;1;4;204945;203525;1420;46;65;97;63;13;1;0;1;0;21;
290020710000003;8;0;4053;4053;0;1;2;1;3;0;0;0;0;0;1;
290020710000004;5;0;76607;76607;0;20;17;31;36;3;1;0;0;0;5;
290020710000005;8;0;28088;28088;0;15;9;13;12;1;0;0;0;0;4;
290020710000006;8;0;160927;160927;0;81;51;63;54;5;0;0;0;0;57;
290020710000007;8;0;75324;75324;0;21;16;38;29;0;0;0;0;0;60;
290020710000008;5;0;56915;56915;0;33;35;20;18;4;0;0;0;0;3;
290020710000009;5;0;26330;26330;0;15;19;12;7;2;0;0;0;0;2;
290020710000010;5;0;20926;20926;0;13;6;11;4;2;0;0;0;0;29;
290020710000011;5;0;50597;50597;0;9;10;22;16;0;1;0;0;0;11;
290020710000012;5;0;41993;41993;0;13;19;14;12;3;0;0;0;0;1;
290020710000013;5;0;32881;32881;0;17;21;12;10;2;0;0;0;0;11;
290020710000014;8;0;136680;136680;0;59;76;86;31;3;0;0;0;0;31;
290020710000015;8;0;17575;17575;0;7;15;7;5;0;0;0;0;0;1;
290020710000016;8;0;49000;49000;0;18;9;15;20;3;0;0;0;0;13;
290020710000017;8;0;6162;6162;0;8;3;3;3;0;0;0;0;0;0;
290020710000018;8;0;45046;45046;0;19;25;18;14;0;0;0;0;0;19;
290020710000019;1;2;175674;175090;584;18;24;38;34;17;5;4;0;0;14;
290020710000020;1;1;163577;162677;900;86;47;86;56;5;0;0;0;0;22;
290020710000021;8;7;41803;41803;0;22;9;18;18;0;0;1;0;0;81;
290020710000022;8;0;16420;16420;0;9;2;4;5;2;0;0;0;0;0;
290030605000001;1;0;147109;147109;0;3;4;14;21;13;7;4;4;0;6;
290030605000002;1;1;151871;150971;900;32;24;47;62;13;2;1;0;0;25;
290030605000003;1;0;180258;180258;0;115;80;90;48;11;0;1;1;0;32;
290030605000004;1;2;47492;47402;90;18;15;23;15;1;1;0;0;0;13;
290030605000005;1;3;280693;277941;2752;26;29;66;85;27;8;8;3;0;28;
290030605000006;1;0;166875;166875;0;17;31;43;43;16;5;1;2;0;9;
290030605000007;1;1;137836;137386;450;50;51;49;50;12;1;0;0;0;16;
290030605000008;1;0;130920;130920;0;40;35;52;51;16;2;0;0;0;39;
290030605000009;1;0;99221;99221;0;15;18;31;36;8;3;0;0;0;9;
290030605000010;1;0;72590;72590;0;45;45;35;24;3;1;0;0;0;13;
290030605000011;1;0;127611;127611;0;12;18;51;49;11;1;1;1;0;2;
290030605000012;1;0;92248;92248;0;60;43;63;24;5;0;0;0;0;8;
290030605000013;1;0;286320;286320;0;11;25;55;83;41;12;2;5;0;7;
290030605000014;8;1;72935;72810;125;31;27;25;30;3;1;1;0;0;10;
290030605000015;8;0;50984;50984;0;24;20;20;10;0;0;1;1;0;3;
290030605000016;8;2;72541;71831;710;16;22;31;16;5;0;0;0;1;5;
